cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength,,,min,max,,,std_fineagg,std_age
141.3,212,0,203.5,0,971.8,748.5,28,29.89,,fineagg,594,992.6,,,0.387606623,0.074175824
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51,,age,1,365,,,0.507275464,0.035714286
250,0,95.7,187.4,5.5,956.9,861.2,28,29.22,,,,,,,0.670346212,0.074175824
266,114,0,228,0,932,670,28,45.85,,std_fineagg,0,1,,,0.190667336,0.074175824
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.29,,std_age,0,1,,,0.257651781,0.074175824
255,0,0,192,0,889.8,945,90,21.86,,,,,,,0.880582037,0.244505495
166.8,250.2,0,203.5,0,975.6,692.6,7,15.75,,,,,,,0.24736578,0.016483516
251.4,0,118.3,188.5,6.4,1028.4,757.7,56,36.64,,,,,,,0.410687406,0.151098901
296,0,0,192,0,1085,765,28,21.65,,,,,,,0.429001505,0.074175824
155,184,143,194,9,880,699,28,28.99,,,,,,,0.263421977,0.074175824
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.35,,,,,,,0.252383342,0.074175824
173,116,0,192,0,946.8,856.8,3,6.94,,,,,,,0.659307577,0.005494505
385,0,0,186,0,966,763,14,27.92,,,,,,,0.423983944,0.035714286
237.5,237.5,0,228,0,932,594,7,26.26,,,,,,,0,0.016483516
167,187,195,185,7,898,636,28,23.89,,,,,,,0.105368791,0.074175824
213.8,98.1,24.5,181.7,6.7,1066,785.5,100,49.97,,,,,,,0.48043151,0.271978022
237.5,237.5,0,228,0,932,594,28,30.08,,,,,,,0,0.074175824
336,0,0,182,3,986,817,28,44.86,,,,,,,0.559458103,0.074175824
190.7,0,125.4,162.1,7.8,1090,804,3,15.04,,,,,,,0.526843954,0.005494505
312.7,0,0,178.1,8,999.7,822.2,28,25.1,,,,,,,0.572503763,0.074175824
229.7,0,118.2,195.2,6.1,1028.1,757.6,3,13.36,,,,,,,0.410436528,0.005494505
228,342.1,0,185.7,0,955.8,674.3,7,21.92,,,,,,,0.201455093,0.016483516
236,157,0,192,0,972.6,749.1,7,20.42,,,,,,,0.389111892,0.016483516
132,207,161,179,5,867,736,28,33.3,,,,,,,0.356246864,0.074175824
331,0,0,192,0,1025,821,28,31.74,,,,,,,0.569493226,0.074175824
310,143,0,168,10,914,804,28,45.3,,,,,,,0.526843954,0.074175824
304,76,0,228,0,932,670,90,49.19,,,,,,,0.190667336,0.244505495
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2,,,,,,,0.735323633,0.247252747
166.1,0,163.3,176.5,4.5,1058.6,780.1,28,21.54,,,,,,,0.466884094,0.074175824
255,99,77,189,6,919,749,28,33.8,,,,,,,0.388861014,0.074175824
339,0,0,197,0,968,781,28,32.04,,,,,,,0.469141997,0.074175824
475,0,0,228,0,932,594,28,39.29,,,,,,,0,0.074175824
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.74,,,,,,,0.558956347,0.074175824
313,145,0,127,8,1000,822,28,44.52,,,,,,,0.572002007,0.074175824
331,0,0,192,0,1025,821,90,37.91,,,,,,,0.569493226,0.244505495
178,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16,,,,,,,0.383341696,0.074175824
165,0,143.6,163.8,0,1005.6,900.9,14,16.88,,,,,,,0.769944807,0.035714286
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71,,,,,,,0.472905168,0.035714286
325,0,0,184,0,1063,783,7,17.54,,,,,,,0.474159558,0.016483516
167,75.4,167,164,7.9,1007.3,770.1,28,41.41,,,,,,,0.441796287,0.074175824
194.7,0,100.5,170.2,7.5,998,901.8,14,24.28,,,,,,,0.772202709,0.035714286
246.8,0,125.1,143.3,12,1086.8,800.9,56,60.32,,,,,,,0.519066734,0.151098901
382,0,0,185,0,1047,739,28,37.42,,,,,,,0.363773206,0.074175824
149,118,92,183,7,953,780,28,23.52,,,,,,,0.466633216,0.074175824
531.3,0,0,141.8,28.2,852.1,893.7,91,59.2,,,,,,,0.751881586,0.247252747
387,20,94,157,11.6,938,845,56,61.46,,,,,,,0.629703964,0.151098901
193.5,290.2,0,185.7,0,998.2,704.3,7,17.2,,,,,,,0.276718515,0.016483516
326,0,138,199,11,801,792,28,40.68,,,,,,,0.496738585,0.074175824
337.9,189,0,174.9,9.5,944.7,755.8,28,49.9,,,,,,,0.405920723,0.074175824
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4,,,,,,,0.735323633,0.005494505
200,200,0,190,0,1145,660,28,49.25,,,,,,,0.165579528,0.074175824
331,0,0,192,0,978,825,180,39,,,,,,,0.579528349,0.491758242
218.9,0,124.1,158.5,11.3,1078.7,794.9,56,37.27,,,,,,,0.504014049,0.151098901
234,156,0,189,5.9,981,760,28,39.3,,,,,,,0.416457602,0.074175824
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22,,,,,,,0.143502258,0.074175824
350,0,0,186,0,1050,770,7,20.28,,,,,,,0.441545409,0.016483516
